"","distn","parama","paramb","n"
"SLA","lnorm",1.89,0.61,455
"leafC","norm",50.6,1.32,291
"Amax","unif",0,40,NA
"leaf_respiration_rate_m2","weibull",2,6,NA
"Vm_low_temp","norm",0,3,NA
"growth_resp_factor","beta",2.63,6.52,0
"leaf_turnover_rate","weibull",1.37,1.43,363
"AmaxFrac","unif",0.6,0.9,NA
"psnTOpt","unif",5,40,NA
"root_turnover_rate","unif",0,10,NA
"root_respiration_rate","unif",0,100,NA
"stem_respiration_rate","unif",0,100,NA
"extinction_coefficient","unif",0.38,0.62,NA
"half_saturation_PAR","unif",4,27,NA
"dVPDSlope","unif",0.01,0.25,NA
"dVpdExp","unif",1,3,NA
"veg_respiration_Q10","unif",1.4,2.6,NA
"fine_root_respiration_Q10","unif",1.4,5,NA
"coarse_root_respiration_Q10","unif",1.4,5,NA
